AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock

"","6","ANT1, IC1, L2, L3, SW1, U5","Antena 2450AT43B100, Atmel AVR ATtiny10, IND-Ferrite, IND-Ferrite, 4pin button, TiWi-uB2","[NoValue], ATtiny10, Ferrite Inductor, Ferrite Inductor, 4pin button, [NoValue]","","[NoValue], ATtiny10, [NoParam], [NoParam], KMS221G_LFS, [NoParam]","Antena 2450AT43B100, SOT23-6, RESC1005X40R, RESC1005X40R, KMS221G_LFS, TiWi-uB2","01","",""
"24921","36","C1, C3, C4, C6, C7, C8, C12, C13, C14, C15, C18, C19, C20, C22, C23, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C48, C50, C62, C64, C65","470nF","KON 470nF X5R 6.3V SMD","0603 (0201)","470n","CAPC0603X33N","01","",""
"24719","17","C2, C5, C10, C11, C17, C24, C26, C49, C51, C52, C53, C54, C55, C56, C57, C58, C63","4.7µF","KON 4.7µF 6.3V X5R SMD","1005 (0402)","4.7u","CAPC1005X60N","01","",""
"24557","9","C9, C16, C21, C25, C27, C28, C29, C30, C42","47µF","KON 47µF 6.3V  X5R SMD 20%","3216 (1206)","47u","CAPC3216X180N","01","",""
"23116","3","C59, C60, C61","100µF","KON 100µF 6,3V X5R SMD","3216 (1206)","100u","CAPC3216X180N","01","",""
"24212","1","D1","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","1005 (0402)","","LEDC1006X25N_RED","01","",""
"24211","1","D3","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","1005 (0402)","","LEDC1006X25N_GREEN","01","",""
"20131","1","J1","WANNE2,54-50 GERADE","Stiftleiste Wanne 50polig","","","WANNE2,54-50 GERADE","01","","Yes"
"24818","1","J2","MMC SD Socket","MCC SD Socket","MMC SD","","104C-TAA0-R","01","","Yes"
"25605","1","J3","U.FL-R-SMT-1","Hirose Ultra Small Coaxial Connector","","","U.FL-R-SMT-1","01","",""
"24993","1","J4","SCHD3A0100","microSD Card (Header Type) SCHD Series","microSD","","SCHD3A0100","01","","Yes"
"23904","1","J5","STIFTLEISTE2.54 OG 2R-8","Stiftleiste gerade 2-reihig, 8pol.","","","STIFTLEISTE2_54 OG 2R-8","01","","Yes"
"22911","1","J7","Stiftleiste versetzt 1-reihig, 6pol.","Stiftleiste versetzt 1-reihig, 6pol.","","","STIFTLEISTE2_54 OG 1R-6V","01","","Yes"
"25215","1","J8","PMod 2x6 Socket 90°","PMod 2x6 Socket 90°","","","PMod2x6","01","","Yes"
"25393","2","L1, L4","BKP0603HS121-T","Ferritdurchführung SMD 0201","0603 (0201)","","INDC0603X33N","01","","Yes"
"22905","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - small","FIDU-DOT - SMALL","","","FIDU-DOT - small","01","",""
"25021","7","R1, R4, R8, R14, R15, R26, R27","33R","WID SMD 33R 1% 0,05W, WID SMD 33R 1% 0,05W, WID SMD 33R 1% 0,05W, WID SMD 0, WID SMD 0, WID SMD 33R 1% 0,05W, WID SMD 33R 1% 0,05W","0603 (0201)","33","RESC0603X26N","01","",""
"24914","20","R2, R5, R6, R9, R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22, R28, R29, R30, R39, R40","10K","WID SMD 10K 1% 0,05W","0603 (0201)","10K","RESC0603X26N","01","",""
"22769","5","R3, R7, R24, R25, R31","470R","WID SMD 470R 1% 0,063W","1005 (0402)","470","RESC1005X40N","01","",""
"25242","3","R23, R37, R38","4K7","WID SMD 4K7 1% 0,05W","0603 (0201)","4.7K","RESC0603X26N","01","",""
"23846","1","R32","200K","WID SMD 200K 1% 0,063W","1005 (0402)","200K","RESC1005X40N","01","",""
"26224","1","R33","301K","WID SMD 301K 1% 0,063W","1005 (0402)","301k","RESC1005X40N","01","",""
"23422","3","R34, R35, R42","33R","WID SMD Netz 4 fach 33R","0402x4 0804 ","33","RESCAX50P100X200X55-8N","01","",""
"22761","1","R36","680R","WID SMD 680R 1% 0,063W","1005 (0402)","680","RESC1005X40N","01","",""
"22738","1","R41","0R","WID SMD 0R","1005 (0402)","0","RESC1005X40N","01","",""
"23417","1","S3","CHS-04TA","DIP Schalter 4 fach 1,27mm SMD","","","CHS-04TA","01","","Yes"
"25023","1","U1","SiT8008AI-73-XXS-33.333333E","SiT8008AI-73-XXS-33.333333E MEMS Oszillator 33.333333MHz","2.0  x 1.6mm","33M","2016","01","","Yes"
"25981","1","U2","XA7Z020-1CLG400I","XA7Z020-1CLG400I","CLG400","","BGA400C80P20X20_1700X1700X160N","01","","Yes"
"25017","2","U3, U4","W25Q256FVBIG","W25Q256FVBIG","TFBGA24","","BGA24C100P5X5_800X600X120N","01","","Yes"
"26027","1","U6","ATSHA204A-STUCZ-T","ATSHA204A-STUCZ-T","SOT23-3","","SOT95P237X112-3N","01","","Yes"
"25492","2","U7, U8","EN5311QI","EN5311QI","QFN20","","EN5311QI","01","","Yes"
