Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)

"Antena 2450AT43B100","","ANT1","Antena 2450AT43B100","Antena 2450AT43B100","1","","01","","","","","192.188","4.882","1443.46","36.664","Top","0","329.984","8.382","1443.46","36.664","192.188","4.882","1443.46","36.664"
"470nF","KON 470nF X5R 6.3V SMD","C1","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1343.369","34.122","985.114","25.022","Bottom","0","1332.148","33.837","985.114","25.022","1343.369","34.122","985.114","25.022"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C2","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1508.501","38.316","817.049","20.753","Bottom","270","1508.501","38.316","834.766","21.203","1508.501","38.316","817.049","20.753"
"470nF","KON 470nF X5R 6.3V SMD","C3","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1511.538","38.393","715.443","18.172","Bottom","270","1511.538","38.393","726.664","18.457","1511.538","38.393","715.443","18.172"
"470nF","KON 470nF X5R 6.3V SMD","C4","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1616.039","41.047","592.492","15.049","Top","0","1604.819","40.762","592.492","15.049","1616.039","41.047","592.492","15.049"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C5","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1508.175","38.308","941.025","23.902","Bottom","270","1508.175","38.308","958.741","24.352","1508.175","38.308","941.025","23.902"
"470nF","KON 470nF X5R 6.3V SMD","C6","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1459.412","37.069","867.766","22.041","Bottom","270","1459.412","37.069","878.986","22.326","1459.412","37.069","867.766","22.041"
"470nF","KON 470nF X5R 6.3V SMD","C7","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","2008.634","51.019","1103.947","28.04","Top","90","2008.634","51.019","1092.726","27.755","2008.634","51.019","1103.947","28.04"
"470nF","KON 470nF X5R 6.3V SMD","C8","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1941.974","49.326","492.125","12.5","Bottom","0","1930.753","49.041","492.125","12.5","1941.974","49.326","492.125","12.5"
